Year,Month,Gold,Silver,Platinum,Palladium,Inflation,Interest Rates %
1990,4,374.5855263,5.059,478.0065789,127.0671053,6.2,13.88
1990,5,368.9535714,5.073047619,488.0892857,119.5369048,7.7,13.88
1990,6,352.4940476,4.918285714,481.347619,115.547619,8.2,13.88
1990,7,362.175,4.871,479.0886364,117.0829545,8.2,13.88
1990,8,394.7943182,5.001840909,491.8988636,115.6068182,8.2,13.88
1990,9,389.44125,4.803775,462.0475,105.2375,8.9,13.88
1990,10,381.0358696,4.389108696,424.4913043,95.50108696,9.2,13.88
1990,11,381.7954545,4.172886364,421.7227273,93.775,9.2,13.88
1990,12,377.0632353,4.074294118,421.5411765,89.97352941,9.2,13.88
1991,1,384.1147727,4.050409091,408.1818182,87.01136364,9.2,13.88
1991,2,363.78875,3.73765,386.58,84.34,8.6,13.38
1991,3,363.3625,3.948125,400.39375,86.10375,8.2,12.88
1991,4,358.2166667,3.982142857,397.3869048,96.59642857,8.3,11.88
1991,5,357.0309524,4.048285714,389.6392857,95.48452381,8,11.38
1991,6,366.5460526,4.387710526,375.5684211,97.09210526,7.5,11.38
1991,7,367.848913,4.3475,376.0521739,94.62065217,7.7,10.88
1991,8,356.5130952,3.9575,347.1416667,83.05357143,7.5,10.88
1991,9,348.5988095,4.03747619,349.0928571,81.92857143,7.5,10.38
1991,10,358.7565217,4.115391304,362.5043478,85.28478261,6.9,10.38
1991,11,360.0630952,4.072285714,364.9654762,85.33928571,6.5,10.38
1991,12,362.1041667,3.954527778,356.6388889,82.95555556,6.5,10.38
1992,1,354.4420455,4.121409091,341.4613636,82.99431818,6.5,10.38
1992,2,353.8825,4.1457,361.88625,85.49125,6.2,10.38
1992,3,344.4886364,4.110431818,356.8943182,84.39318182,6.3,10.38
1992,4,338.6725,4.0525,347.6425,83.46375,6.2,10.38
1992,5,337.1394737,4.074605263,358.2631579,82.74736842,5.2,9.88
1992,6,340.7943182,4.063909091,369.1715909,80.66477273,5.1,9.88
1992,7,352.5858696,3.967521739,383.2402174,87.03152174,4.6,9.88
1992,8,343.33,3.818425,359.75625,85.5125,4.5,9.88
1992,9,345.3647727,3.770159091,362.1340909,90.84886364,3.7,8.88
1992,10,344.3284091,3.749772727,358.0977273,94.72045455,3.7,7.88
1992,11,334.9702381,3.77102381,355.9107143,94.49404762,3.5,6.88
1992,12,334.8223684,3.731631579,362.5355263,106.6671053,3.3,6.88
1993,1,329.00125,3.68425,359.30375,109.8675,3.2,5.88
1993,2,329.31,3.659975,359.045,110.51875,3,5.88
1993,3,330.026087,3.647021739,350.2423913,106.2663043,3.1,5.88
1993,4,342.04875,3.964025,369.03875,114.72625,3.2,5.88
1993,5,367.1118421,4.455157895,384.8802632,119.55,2.6,5.88
1993,6,371.9022727,4.374840909,383.3147727,127.025,2.3,5.88
1993,7,392.1113636,5.019431818,403.1568182,139.4431818,2.2,5.88
1993,8,379.3166667,4.844857143,392.9928571,136.902381,2.3,5.88
1993,9,355.4181818,4.218522727,362.4772727,121.4284091,2.6,5.88
1993,10,364.0916667,4.34302381,367.9261905,129.6845238,2.7,5.88
1993,11,373.8829545,4.533159091,374.5147727,128.175,2.4,5.38
1993,12,382.9868421,4.957921053,382.1828947,124.7618421,2.1,5.38
1994,1,386.9925,5.1427,387.74125,124.31,2.3,5.38
1994,2,381.78375,5.247275,393.855,131.7825,2.6,5.13
1994,3,384.0641304,5.434956522,400.2847826,133.0347826,2.4,5.13
1994,4,377.5894737,5.308210526,396.3592105,133.5934211,2.2,5.13
1994,5,381.3775,5.42495,398.2875,136.10125,2.4,5.13
1994,6,385.6784091,5.387613636,401.3159091,137.1977273,2.4,5.13
1994,7,385.4702381,5.282571429,411.5547619,146.072619,2.3,5.13
1994,8,380.2806818,5.194522727,412.2193182,152.1477273,2.1,5.13
1994,9,391.4613636,5.523681818,417.2477273,152.9568182,2.2,5.63
1994,10,389.9678571,5.455095238,419.3309524,154.602381,1.9,5.63
1994,11,384.3829545,5.192409091,412.5136364,156.4715909,1.8,5.63
1994,12,379.2486111,4.780027778,409.2902778,153.4666667,2.1,6.13
1995,1,378.6440476,4.76947619,413.7238095,156.0535714,2.2,6.13
1995,2,376.6925,4.721725,414.03875,156.9125,2.4,6.63
1995,3,381.9695652,4.64826087,416.6978261,162.6978261,2.3,5.94
1995,4,391.1847222,5.503,448.7777778,169.7819444,2.4,5.94
1995,5,385.225,5.540547619,436.9130952,160.4869048,2.3,5.94
1995,6,387.5886364,5.363704545,438.4602273,158.5625,2.6,5.94
1995,7,386.1857143,5.164761905,433.5892857,155.3547619,2.7,5.94
1995,8,383.5784091,5.389909091,424.8170455,149.6454545,2.8,5.94
1995,9,382.9928571,5.434952381,429.8059524,143.4666667,2.7,5.94
1995,10,383.1693182,5.374136364,412.8034091,136.8852273,3,5.94
1995,11,385.2579545,5.315068182,413.2261364,134.2931818,3,5.94
1995,12,387.4735294,5.185352941,410.3735294,131.9132353,2.9,6.38
1996,1,399.0738636,5.479795455,416.1852273,129.6193182,3.1,6.13
1996,2,404.8404762,5.650047619,420.375,139.3409524,2.9,6.13
1996,3,396.3595238,5.529880952,411.1928571,138.1761905,3,5.94
1996,4,392.85875,5.4105,404.20625,136.35,3,5.94
1996,5,391.9619048,5.365857143,401.3619048,132.0488095,2.8,5.94
1996,6,385.25875,5.161325,392.59875,129.55375,2.8,5.69
1996,7,383.4652174,5.063978261,393.4597826,131.95,2.8,5.69
1996,8,387.4297619,5.129666667,400.1904762,127.0809524,2.7,5.69
1996,9,383.2130952,5.036547619,389.9797619,121.5988095,2.7,5.69
1996,10,380.9869565,4.927586957,384.1265217,117.5271739,2.7,5.94
1996,11,377.8595238,4.83147619,381.9642857,116.9940476,3,5.94
1996,12,369.1736111,4.822638889,370.4444444,117.1458333,3.1,5.94
1997,1,355.0647727,4.773613636,359.5477273,121.2102273,2.8,5.94
1997,2,346.49125,5.072175,364.84625,136.13375,2.6,5.94
1997,3,352.0592105,5.203157895,379.5921053,149.0236842,2.4,5.94
1997,4,344.5897727,4.772568182,371.0568182,153.5659091,2.2,5.94
1997,5,343.97,4.7594,389.3375,171.115,2.1,6.25
1997,6,340.7809524,4.755238095,431.0630952,203.1190476,2.1,6.5
1997,7,323.9423913,4.372434783,415.5326087,187.6684783,2.1,6.75
1997,8,324.00375,4.496175,425.325,213.8375,2.4,7
1997,9,322.7193182,4.731863636,424.8465909,190.8295455,2.3,7
1997,10,324.8630435,5.034804348,423.4565217,205.076087,2.2,7
1997,11,306.19125,5.077925,392.6,208.1625,2.2,7.25
1997,12,288.5552632,5.759078947,367.1539474,198.7697368,2.1,7.25
1998,1,289.1797619,5.881952381,374.7166667,225.4464286,1.9,7.25
1998,2,297.6175,6.831675,386.53125,236.8125,1.8,7.25
1998,3,295.9056818,6.242931818,398.7102273,262.2613636,1.8,7.25
1998,4,308.42125,6.332625,413.5,322.2,1.9,7.25
1998,5,299.0355263,5.561,389.1973684,353.9473684,2.1,7.25
1998,6,292.2704545,5.266704545,355.7954545,286.7840909,2.2,7.5
1998,7,292.8728261,5.455217391,378.0815217,306.4673913,1.9,7.5
1998,8,284.16875,5.182,369.6875,287.1125,1.7,7.5
1998,9,288.8215909,4.999204545,359.8352273,283.2272727,1.6,7.5
1998,10,296.2613636,4.99875,342.4715909,277.7613636,1.7,7.25
1998,11,294.1342105,4.970657895,346.5592105,276.5723684,1.6,6.75
1998,12,291.7447368,4.867236842,349.9144737,295.6578947,1.7,6.25
1999,1,287.225,5.146,354.31625,321.73125,1.9,6
1999,2,287.41125,5.530625,364.64375,350.98125,2,5.5
1999,3,286.1021739,5.190326087,370.298913,352.951087,1.9,5.5
1999,4,282.61875,5.066875,357.58625,360.51875,2.1,5.25
1999,5,276.6868421,5.269736842,355.8026316,328.9342105,2,5.25
1999,6,261.3579545,5.034318182,356.6136364,337.0431818,1.7,5
1999,7,256.1386364,5.17925,349.2784091,332.2386364,1.8,5
1999,8,256.8142857,5.272619048,349.952381,340.077381,1.7,5
1999,9,262.8559524,5.215,370.3333333,360.755,1.6,5.25
1999,10,311.1404762,5.411547619,421.9404762,387.0714286,1.6,5.25
1999,11,293.4170455,5.155113636,434.5795455,401.1590909,1.5,5.5
1999,12,283.2986842,5.157763158,439.9210526,423.5657895,1.5,5.5
2000,1,284.4525,5.188125,440.775,452.0125,1.5,5.75
2000,2,300.3595238,5.246547619,516.3333333,635.6904762,1.2,6
2000,3,286.5467391,5.063804348,480.0326087,666.0652174,1.2,6
2000,4,280.05,5.066323529,499.5294118,573.0588235,1,6
2000,5,275.2392857,4.985952381,526.0952381,570.452381,0.9,6
2000,6,285.55,4.997159091,558.875,647.0909091,1,6
2000,7,281.8690476,4.969166667,560.3809524,703.1547619,1.2,6
2000,8,274.4954545,4.884318182,577.6818182,760.375,1.2,6
2000,9,273.677381,4.890238095,592.4047619,728.3809524,1,6
2000,10,270.2011364,4.830227273,579.4204545,739.6477273,1.3,6
2000,11,265.9977273,4.679204545,593.4204545,783.9886364,1.4,6
2000,12,271.5882353,4.647647059,610.6470588,911.5588235,1.5,6
2001,1,265.7102273,4.662840909,621.5113636,1040.75,1.2,6
2001,2,261.94125,4.550375,601.2,973.425,1.2,5.75
2001,3,263.15,4.399659091,584.9886364,780.8636364,1.2,5.75
2001,4,260.6144737,4.367105263,594.8684211,697.2105263,1.3,5.5
2001,5,272.2059524,4.429047619,609.952381,654.6666667,1.5,5.25
2001,6,270.4845238,4.362619048,579.4166667,613.9166667,1.9,5.25
2001,7,267.6222727,4.254318182,531.375,525.2954545,1.9,5.25
2001,8,272.5215909,4.2,451.3125,455.1818182,1.7,5
2001,9,282.90625,4.35175,457.775,442.45,2.1,4.75
2001,10,283.1563043,4.401195652,431.673913,335.2336957,1.7,4.5
2001,11,276.2284091,4.121704545,429.5909091,328.6477273,1.6,4
2001,12,275.8544118,4.334264706,460.8235294,397.7352941,1.2,4
2002,1,281.78375,4.515375,473.3875,411.275,1.4,4
2002,2,295.58875,4.4225,471.25,374.2,1.8,4
2002,3,294.2025,4.532375,512.15,374.55,1.7,4
2002,4,302.772619,4.570952381,540.8809524,369.8571429,1.7,4
2002,5,314.4863636,4.707840909,534.4204545,356.6590909,1.6,4
2002,6,321.6573529,4.893382353,555.8529412,336.2205882,1.2,4
2002,7,313.4293478,4.914673913,526.2173913,322.6304348,1.1,4
2002,8,310.15,4.547261905,545.4166667,324.6904762,1.4,4
2002,9,318.9630952,4.553333333,555.8392857,327.7380952,1.3,4
2002,10,316.6521739,4.402934783,580.5434783,316.5869565,1.2,4
2002,11,319.2238095,4.5065,588.202381,285.5952381,1.5,4
2002,12,332.0222222,4.632127778,596.6597222,243.25,1.6,4
2003,1,356.8613636,4.812727273,629.625,257.2045455,1.7,4
2003,2,359.2725,4.652375,682.25,253.2,1.4,3.75
2003,3,341.05,4.528333333,675.7619048,224.8452381,1.6,3.75
2003,4,328.19375,4.4945,624.7,162.75,1.6,3.75
2003,5,355.54875,4.744125,650.725,167.1,1.5,3.75
2003,6,356.6321429,4.526190476,661.75,179.4880952,1.3,3.75
2003,7,350.8923913,4.796956522,681.9347826,173.2608696,1.2,3.5
2003,8,359.38,4.991,692.375,181.7625,1.3,3.5
2003,9,378.9022727,5.170795455,705.2954545,210.8863636,1.4,3.5
2003,10,379.0119565,5.002173913,732.3804348,201.4021739,1.3,3.5
2003,11,390.055,5.17775,759.975,197,1.3,3.75
2003,12,406.9789474,5.597105263,807.4736842,198.2828947,1.3,3.75
2004,1,414.1416667,6.316428571,851.3214286,216.2678571,1.3,3.75
2004,2,404.80375,6.440625,846.2125,235.04375,1.5,4
2004,3,406.3217391,7.225434783,899.5434783,268.9945652,1.4,4
2004,4,404.155,7.055,881.3375,296.675,1.2,4
2004,5,383.8526316,5.847368421,809.4342105,246.0315789,1.1,4.25
2004,6,392.0715909,5.861818182,807.3409091,229.5681818,1.4,4.5
2004,7,398.2659091,6.314090909,809.3295455,220.3693182,1.5,4.5
2004,8,400.1785714,6.659285714,847.3928571,215.5535714,1.4,4.75
2004,9,405.3272727,6.403409091,848.1818182,211.3636364,1.4,4.75
2004,10,420.3857143,7.095,842.8214286,218.0654762,1.2,4.75
2004,11,439.2227273,7.492613636,854.2954545,213.8522727,1.3,4.75
2004,12,442.675,7.130789474,849.1184211,192.4473684,1.5,4.75
2005,1,424.055,6.60925,858.8125,185.8125,1.8,4.75
2005,2,423.39,7.03,864.5875,182.5875,1.7,4.75
2005,3,434.3380952,7.256071429,867.74,197.4821429,1.7,4.75
2005,4,429.1869048,7.118809524,865.2857143,198.625,2,4.75
2005,5,422.3875,7.017125,866.65,185.4125,1.9,4.75
2005,6,430.4329545,7.310454545,880.2272727,186.5170455,1.9,4.75
2005,7,424.6119048,7.01452381,874.0119048,184.4880952,2,4.75
2005,8,437.8511364,7.041931818,899.2727273,186.7272727,2.3,4.5
2005,9,455.9875,7.153636364,914.6136364,188.8409091,2.4,4.5
2005,10,470.002381,7.67047619,931.0357143,207.625,2.5,4.5
2005,11,476.6715909,7.8725,962.8806818,245.7159091,2.4,4.5
2005,12,509.8222222,8.636944444,979.7222222,266.4027778,2.2,4.5
2006,1,549.6488095,9.153809524,1029.02381,273.6309524,2.1,4.5
2006,2,555.25625,9.534875,1041.4,289.4,2.2,4.5
2006,3,557.1543478,10.38423913,1041.521739,310.1956522,2.2,4.5
2006,4,611.2527778,12.61486111,1101.583333,353.0763889,2,4.5
2006,5,676.0880952,13.44857143,1264.357143,369.0714286,2.2,4.5
2006,6,597.0215909,10.79636364,1188.045455,315.9545455,2.4,4.5
2006,7,633.4130952,11.23238095,1228.988095,318.1845238,2.6,4.5
2006,8,632.0829545,12.1775,1233.727273,329.0568182,2.5,4.75
2006,9,599.1678571,11.67690476,1184.630952,323.2619048,2.6,4.75
2006,10,586.2136364,11.55863636,1083.840909,313.0340909,2.5,4.75
